Frame,Time (ns),RMSD 2 (51 atoms)
570,56.9011,5.145044574888241
571,57.0011,6.364355007371676
572,57.1011,5.10739941409082
573,57.2011,5.660663952322172
574,57.3011,5.5069050750725586
575,57.4011,5.7864178336325125
576,57.5012,5.701311575803556
577,57.6012,6.073614998530702
578,57.7012,5.576880083729415
579,57.8012,5.2483513190228805
580,57.9012,5.294706332511524
581,58.0012,5.442009717869117
582,58.1012,5.517271589503956
583,58.2012,6.243162352179185
584,58.3012,6.017543370273697
585,58.4012,5.078265082809189
586,58.5012,6.752492600149341
587,58.6012,6.329143247945355
588,58.7012,6.887297393069011
589,58.8012,6.5246229988734274
590,58.9012,5.195048770191698
591,59.0012,4.86807197239114
592,59.1012,4.855290057992375
593,59.2012,5.446486455124596
594,59.3012,5.065085320496641
595,59.4012,5.038270323495053
596,59.5012,5.7613501332319625
597,59.6012,5.835870795900482
598,59.7012,4.650098859095283
599,59.8012,5.0857371551419295
600,59.9012,5.611757825006147
601,60.0012,5.595558842465414
602,60.1012,4.839609185474516
603,60.2012,4.733934367230353
604,60.3012,5.114904817125231
605,60.4012,4.889250110455855
606,60.5012,5.99176591336892
607,60.6012,5.415580172719493
608,60.7012,4.602425252291043
609,60.8012,5.662839807662329
610,60.9012,5.833286584230437
611,61.0012,5.741392857785126
612,61.1012,5.680407019092697
613,61.2012,5.420113541285316
614,61.3012,6.469422143833287
615,61.4012,5.062801255921375
616,61.5012,5.507578246300332
617,61.6012,6.693790895118562
618,61.7012,5.350024959682698
619,61.8012,4.937194238053544
620,61.9012,6.643259945689121
621,62.0012,6.74434959980029
622,62.1012,4.993994101477299
623,62.2012,4.424055001010769
624,62.3012,5.807369954915891
625,62.4012,5.848261501273594
626,62.5012,4.360304582764765
627,62.6013,4.5082214141307295
628,62.7013,4.413143163524377
629,62.8013,4.814682275141106
630,62.9013,5.544808994341326
631,63.0013,5.2484232352713365
632,63.1013,5.047731438503349
633,63.2013,4.713827179749205
634,63.3013,5.298314312398625
635,63.4013,6.331189655038632
636,63.5013,5.141822454454598
637,63.6013,5.806886458001453
638,63.7013,6.583273243087886
639,63.8013,7.976139320406908
640,63.9013,4.950334694588077
641,64.0013,5.049161041531106
642,64.1013,5.0117326020729775
643,64.2013,4.1167984515302445
644,64.3013,5.600135952425752
645,64.4013,4.704807550564599
646,64.5013,4.750731387691306
647,64.6013,4.857850575874492
648,64.7013,4.775692886875834
649,64.8013,4.742363122096247
650,64.9013,4.7500344067655496
651,65.0013,4.677794874727558
652,65.1013,4.8330186707448295
653,65.2013,4.754727045898829
654,65.3013,6.6708602060498645
655,65.4013,4.772357121706238
656,65.5013,5.742622728789192
657,65.6013,7.06444965805176
658,65.7013,6.464342871852345
659,65.8013,6.70632485178841
660,65.9013,7.398418664038363
661,66.0013,5.49825135169827
662,66.1013,5.8743698025119775
663,66.2013,4.600797279576752
664,66.3013,6.327106590854691
665,66.4013,7.440761131325445
666,66.5013,5.0604630968127555
667,66.6013,5.674516876355434
668,66.7013,4.753064052267416
669,66.8013,5.5278221825287535
670,66.9013,7.487100404651124
671,67.0013,5.9272383527156824
672,67.1013,5.07123206030669
673,67.2013,4.566568583767301
674,67.3013,6.534197490816416
675,67.4013,7.330971065890111
676,67.5014,6.988362413481328
677,67.6014,5.935192634044236
678,67.7014,6.259615193765034
679,67.8014,5.991937254166017
680,67.9014,7.429916665203623
681,68.0014,7.6135862127469505
682,68.1014,7.466332204667641
683,68.2014,8.421477791191496
684,68.3014,4.671227041494775
685,68.4014,6.5944615595614025
686,68.5014,4.780816948039444
687,68.6014,4.966790712415716
688,68.7014,5.21718408985342
689,68.8014,5.40897612764437
690,68.9014,4.98004801214904
691,69.0014,7.262074166914653
692,69.1014,6.07080447358836
693,69.2014,5.397883571578354
694,69.3014,5.1224334607788515
695,69.4014,7.25175370519697
696,69.5014,5.18558491477912
697,69.6014,5.06727258496086
698,69.7014,4.953080927896482
699,69.8014,4.668261741393752
700,69.9014,4.741933566724975
701,70.0014,4.426893052580013
702,70.1014,6.0522500109029345
703,70.2014,5.121726019524475
704,70.3014,6.334406033894858
705,70.4014,4.306882979977948
706,70.5014,6.06599156409624
707,70.6014,4.646409426790753
708,70.7014,5.194102558768282
709,70.8014,4.873481342505782
710,70.9014,6.3419431023601405
711,71.0014,4.652109638481993
712,71.1014,6.022172914505276
713,71.2014,5.893379947893691
714,71.3014,6.146521314279098
715,71.4014,5.740907028146946
716,71.5014,5.140371027487146
717,71.6014,4.724388753836861
718,71.7014,5.604609815598234
719,71.8014,4.390523260589244
720,71.9014,4.567222392872639
721,72.0014,4.807806328008066
722,72.1014,5.452881118567852
723,72.2014,8.504890364645298
724,72.3014,6.799372079378339
725,72.4014,7.05109610616041
726,72.5014,6.885999283632013
727,72.6015,6.25217225697275
728,72.7015,6.803044748492827
729,72.8015,7.680937998231294
730,72.9015,6.085054114565459
731,73.0015,6.465797822534764
732,73.1015,5.348357243547998
733,73.2015,5.92186335121453
734,73.3015,6.96983289302093
735,73.4015,6.480945745796274
736,73.5015,6.777532908107218
737,73.6015,6.205685397757975
738,73.7015,6.754045268681063
739,73.8015,5.612682484227705
740,73.9015,6.233253748542474
741,74.0015,6.180666697827407
742,74.1015,5.508612992755547
743,74.2015,5.271855289776616
744,74.3015,6.656049978159668
745,74.4015,8.297018221205498
746,74.5015,6.705499054009124
747,74.6015,6.384239715638309
748,74.7015,6.072598283843416
749,74.8015,5.263840807827752
750,74.9015,5.188627627341536
751,75.0015,6.167317374683214
752,75.1015,5.692703047386938
753,75.2015,5.489804380555946
754,75.3015,5.057552431776677
755,75.4015,5.178683819995773
756,75.5015,4.8208273067602025
757,75.6015,4.554433830864757
758,75.7015,4.87978028320415
759,75.8015,4.735308377490958
760,75.9015,4.736683527322437
761,76.0015,4.631848856193349
762,76.1015,4.40223681544379
763,76.2015,4.737906289503236
764,76.3015,5.480469587066368
765,76.4015,4.831123809182766
766,76.5015,4.353292063257159
767,76.6015,5.347080669099636
768,76.7015,5.210289330423751
769,76.8015,4.558437489745564
770,76.9015,4.6054541515021725
771,77.0015,4.865736465830879
772,77.1015,4.431892047376551
773,77.2015,4.186296470580585
774,77.3015,4.304277373816644
775,77.4015,4.76613401074334
776,77.5016,5.143439431759747
777,77.6016,4.943543941077497
778,77.7016,7.0624090862205895
779,77.8016,4.28560813907915
780,77.9016,6.297389745976983
781,78.0016,5.639918763473448
782,78.1016,4.890544260710237
783,78.2016,4.7574800006360425
784,78.3016,6.559464460044906
785,78.4016,7.158727420150423
786,78.5016,5.69376410939097
787,78.6016,6.161147700352076
788,78.7016,4.928586965906234
789,78.8016,4.944728579011018
790,78.9016,4.8210843244179955
791,79.0016,5.7451225076004615
792,79.1016,5.3872101887773205
793,79.2016,4.268311966599359
794,79.3016,4.848607489356906
795,79.4016,4.312655227458595
796,79.5016,5.033409082462236
797,79.6016,4.392870304640314
798,79.7016,4.697740340922508
799,79.8016,4.185184798219034
800,79.9016,4.031354727387193
801,80.0016,4.593130019942085
802,80.1016,4.392401527176343
803,80.2016,5.106653967324935
804,80.3016,4.464366724730986
805,80.4016,5.718641107187736
806,80.5016,4.216047930878273
807,80.6016,5.007991490714353
808,80.7016,5.483001366828306
809,80.8016,4.999210304964339
810,80.9016,5.471893403921193
811,81.0016,8.443520428244357
812,81.1016,5.8853581660136784
813,81.2016,4.8192230136658365
814,81.3016,7.334988790721555
815,81.4016,4.423829598613984
816,81.5016,4.498409118239573
817,81.6016,5.631504031200324
818,81.7016,4.803873384073047
819,81.8016,6.026805148444554
820,81.9016,4.948089314289984
821,82.0016,4.972912057298754
822,82.1016,5.371986243638921
823,82.2016,9.953924508278474
824,82.3016,4.459869689602687
825,82.4016,4.66915401694353
826,82.5017,6.3339651462939175
827,82.6017,5.87217226015475
828,82.7017,5.322307027877739
829,82.8017,7.350513804423625
830,82.9017,6.49053931984122
831,83.0017,6.579600790535602
832,83.1017,7.890526609713754
833,83.2017,6.337673624686152
834,83.3017,5.650756411712746
835,83.4017,5.108329921528917
836,83.5017,5.489077960822058
837,83.6017,5.099454750774255
838,83.7017,7.842872477265873
839,83.8017,4.762927026320343
840,83.9017,5.049668427928811
841,84.0017,6.496309217895319
842,84.1017,5.63137959046776
843,84.2017,4.999664466869565
844,84.3017,4.276927454211849
845,84.4017,4.5011413262805835
846,84.5017,6.043928206350543
847,84.6017,4.319380170567832
848,84.7017,4.386518777582388
849,84.8017,5.3187943465545064
850,84.9017,5.612198383294529
851,85.0017,4.626559723712933
852,85.1017,4.849473624703939
853,85.2017,4.266794661755665
854,85.3017,5.439983080631592
855,85.4017,4.776461485107414
856,85.5017,4.560396109126442
857,85.6017,4.968111059769088
858,85.7017,4.858425534812968
859,85.8017,5.855158849402601
860,85.9017,5.635365999723605
861,86.0017,4.253252400652677
862,86.1017,5.0045808142542
863,86.2017,5.493277037231933
864,86.3017,5.147680569123451
865,86.4017,4.445431950717269
866,86.5017,5.267118771084855
867,86.6017,6.831293217304868
868,86.7017,6.9809821513075985
869,86.8017,4.616263509504781
870,86.9017,4.573942801147109
871,87.0017,5.465848359900383
872,87.1017,4.864295627207327
873,87.2017,5.505194212675722
874,87.3017,4.527601739075299
875,87.4017,4.33699874482564
876,87.5018,4.725493346139484
877,87.6018,4.692267575094012
878,87.7018,4.39516769284236
879,87.8018,4.487708435293504
880,87.9018,5.89797760983128
881,88.0018,4.920991672128069
882,88.1018,5.068549814558851
883,88.2018,5.140758911825943
884,88.3018,5.258451975139791
885,88.4018,5.413209228360198
886,88.5018,4.389092974373566
887,88.6018,5.220967460284717
888,88.7018,4.517139113867765
889,88.8018,6.128912581225519
890,88.9018,5.371586419493908
891,89.0018,4.780918057571181
892,89.1018,5.0548609700461355
893,89.2018,5.6578460000363195
894,89.3018,4.874957834482407
895,89.4018,5.109758395459844
896,89.5018,4.727629391732458
897,89.6018,5.691880065801289
898,89.7018,5.23037563270013
899,89.8018,4.75951906865034
900,89.9018,4.825893885138484
901,90.0018,6.152913556871234
902,90.1018,4.553876735847514
903,90.2018,4.635146377824181
904,90.3018,5.220818097803376
905,90.4018,4.904403625725286
906,90.5018,5.2280565628020375
907,90.6018,4.907839975420775
908,90.7018,6.694355998395375
909,90.8018,4.553461009039759
910,90.9018,5.568944984429368
911,91.0018,7.36137310167279
912,91.1018,5.5549959169495
913,91.2018,5.57346280884938
914,91.3018,5.404692100702892
915,91.4018,5.835678766462734
916,91.5018,5.781832572559561
917,91.6018,6.14350216983643
918,91.7018,4.574273174723366
919,91.8018,4.785791314264065
920,91.9018,4.736812670961332
