  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      207        1.412        4.746            0      405.245      126.432      103.680
      208        1.669        4.771            0      405.136      125.006      101.394
      209        1.797        4.734            0      401.628      122.298       99.709
      210        1.540        4.791            0      408.367       92.012      100.535
      211        1.568        4.813            0      413.216      113.847      101.176
      212        1.588        4.669            0      406.817       99.387      101.987
      213        1.453        4.750            0      405.611      105.923      102.398
      214        1.717        4.799            0      406.053      112.063       97.831
      215        1.643        4.840            0      411.709      101.671      101.300
      216        1.508        4.685            0      402.217      118.334      102.050
      217        1.526        4.809            0      405.263      127.147      100.088
      218        1.498        4.730            0      401.308      116.081      101.222
      219        1.670        4.757            0      407.654      105.349      100.020
      220        1.630        4.682            0      404.425      102.486      101.134
      221        1.563        4.863            0      417.097       99.498       99.787
      222        1.297        4.855            0      406.978       86.903       89.591
      223        1.515        4.889            0      415.498      111.595       95.810
      224        1.284        4.901            0      422.711       86.480      100.770
      225        1.214        4.858            0      425.216       96.171      103.255
      226        1.532        4.834            0      416.208      105.777       96.741
      227        1.681        4.881            0      414.185      110.445       97.238
      228        1.553        4.720            0      401.255      121.970       99.013
      229        1.569        4.715            0      410.230      134.059      100.238
      230        1.439        4.886            0      412.667      122.835       99.472
      231        1.596        4.657            0      402.309      107.768      103.101
      232        1.643        4.802            0      411.225      121.735       99.863
      233        1.640        4.736            0      408.792      116.187      100.313
      234        1.481        4.608            0      401.402       93.919      101.645
      235        1.376        4.705            0      407.489      101.835      102.005
      236        1.745        4.931            0      420.127      129.421      101.200
      237        1.462        4.879            0      415.218      117.022       99.752
      238        1.363        4.690            0      404.859      118.063      101.823
      239        1.657        4.771            0      408.450      120.189      101.127
      240        1.446        4.964            0      419.280      115.768      102.410
      241        1.257        4.851            0      412.127      112.952      101.316
      242        1.561        4.885            0      423.019      122.481       97.949
      243        1.597        4.956            0      428.701      128.562       94.792
      244        1.606        4.911            0      415.827      119.541       96.829
      245        1.613        4.866            0      414.123      111.662      103.020
      246        1.731        4.942            0      426.207      115.364       95.092
      247        1.659        4.787            0      418.078      119.907      100.271
      248        1.579        4.851            0      412.003      114.120       99.731
      249        1.591        4.794            0      410.966      110.292       98.508
      250        1.491        4.681            0      407.272       91.428      100.421
      251        1.515        4.729            0      408.996      127.391       99.599
      252        1.668        4.722            0      413.582      118.709      102.210
      253        1.699        4.688            0      408.378       97.145      106.351
      254        1.678        4.808            0      408.039      123.714      102.089
      255        1.504        4.899            0      420.167      112.010       96.488
      256        1.646        4.789            0      409.859      113.280       97.109
      257        1.493        4.737            0      406.668      124.512      104.649
      258        1.499        4.939            0      422.803      116.231       96.371
      259        1.586        4.916            0      416.071      104.420       98.169
      260        1.503        4.767            0      413.528      111.769      101.287
      261        1.569        4.937            0      414.509      126.438      101.217
      262        1.444        4.814            0      414.379      123.019      100.934
      263        1.676        4.800            0      406.843      115.358      101.431
      264        1.597        4.995            0      421.930      125.463      100.931
      265        1.602        4.956            0      418.192      122.177       99.021
      266        1.648        4.801            0      410.422      110.592      100.197
      267        1.553        4.769            0      408.841       95.621       98.394
      268        1.546        4.780            0      406.827      125.696       99.742
      269        1.633        4.774            0      408.397      120.894      105.931
      270        1.633        4.811            0      413.682      111.266      101.089
      271        1.581        4.734            0      404.724      110.451       95.362
      272        1.495        4.739            0      411.703      108.387      102.636
      273        1.545        4.876            0      421.769      117.608      101.424
      274        1.623        4.758            0      403.027       96.253      102.123
      275        1.579        4.772            0      410.537      102.788      100.598
      276        1.664        4.689            0      408.951      105.924      100.262
      277        1.646        4.759            0      407.257      121.563      104.611
      278        1.487        4.857            0      412.257      137.989      105.512
      279        1.581        4.777            0      411.310      140.878       98.727
      280        1.506        4.888            0      414.759      128.439       99.993
      281        1.627        4.771            0      410.634      110.954      103.309
      282        1.442        4.823            0      410.387      113.022       99.833
      283        1.557        4.871            0      421.935      143.116       98.561
      284        1.668        4.834            0      411.819      117.758       97.586
      285        1.623        4.835            0      409.735      103.936       96.750
      286        1.406        4.682            0      401.284      102.725       97.811
      287        1.529        4.740            0      411.162      108.552       98.641
      288        1.581        4.743            0      408.392      102.663      100.214
      289        1.637        4.705            0      404.913       82.056      105.501
      290        1.504        4.777            0      408.858       98.029       99.009
      291        1.520        4.729            0      406.933      101.695       99.656
      292        1.749        4.831            0      416.048      100.555       96.158
      293        1.440        4.774            0      408.961      121.531       99.776
      294        1.745        4.936            0      418.215      123.583      102.343
      295        1.558        4.852            0      410.271      119.301       99.908
      296        1.772        4.743            0      409.229       98.221      100.047
      297        1.510        4.827            0      410.595       97.859       97.046
      298        1.708        4.793            0      409.691      136.117       99.845
      299        1.647        4.675            0      403.656      115.384       99.976
      300        1.587        4.725            0      407.277      100.942       98.120
      301        1.667        4.782            0      409.365      117.668      102.040
      302        1.660        4.752            0      412.549      131.348       97.982
      303        1.599        4.794            0      412.204      117.204      105.049
      304        1.666        4.686            0      408.714      125.749      100.330
      305        1.617        4.718            0      410.038       84.385       99.597
      306        1.536        4.776            0      407.277      125.469       99.221
      307        1.444        4.734            0      408.210      106.125      100.850
      308        1.470        4.874            0      422.619      105.942       97.764
      309        1.710        4.800            0      411.178       87.650       96.526
      310        1.612        4.797            0      412.672      110.886       97.694
      311        1.729        4.871            0      412.199      105.227      102.649
      312        1.759        4.855            0      415.588       88.699      101.575
      313        1.649        4.921            0      413.132       73.006      101.806
      314        1.682        4.879            0      422.225       94.192       97.195
      315        1.612        4.840            0      411.741      116.586       96.546
      316        1.538        5.000            0      428.598       81.979      101.249
      317        1.674        4.937            0      421.763      104.258       95.445
      318        1.435        4.878            0      420.634       99.618      102.987
      319        1.508        4.892            0      416.413      107.670       97.967
      320        1.439        4.805            0      415.327      134.649       95.477
      321        1.620        4.803            0      412.280       74.844      100.338
      322        1.607        4.957            0      427.152      105.582       99.840
      323        1.572        4.912            0      419.138      106.489      103.665
      324        1.747        4.879            0      419.306       99.358       99.684
      325        1.390        4.909            0      415.859       99.034      100.453
      326        1.484        4.963            0      420.574      109.563      102.574
      327        1.490        4.858            0      418.254       86.909      102.122
      328        1.478        4.950            0      413.448      127.778      103.287
      329        1.664        5.057            0      425.717       89.562       97.083
      330        1.468        4.932            0      418.731      109.590       99.572
      331        1.549        4.868            0      411.497      130.253      100.606
      332        1.672        5.030            0      421.810      127.010       96.523
      333        1.337        4.615            0      401.241      144.141      101.277
      334        1.629        5.140            0      429.221      133.249       95.570
      335        1.744        5.136            0      423.916      150.948       95.291
      336        1.723        5.031            0      425.132      119.633      103.343
      337        1.514        5.094            0      429.609      110.519       94.384
      338        1.723        5.037            0      429.619       98.503       98.783
      339        1.495        4.983            0      424.707      101.847       98.402
      340        1.490        4.992            0      428.251       95.894       98.621
      341        1.494        5.008            0      431.752       95.333       99.124
      342        1.631        5.046            0      432.063       81.010      101.186
      343        1.655        4.991            0      428.241       98.395      101.645
      344        1.713        5.035            0      428.707       88.353       98.872
      345        1.577        4.990            0      428.260       95.848       97.078
      346        1.604        4.960            0      421.963       94.619      101.449
      347        1.510        4.939            0      432.535       81.106       95.438
      348        1.680        5.008            0      427.682      100.872       93.666
      349        1.644        4.777            0      414.248      115.273      104.680
      350        1.426        4.977            0      430.062       87.406       99.105
      351        1.640        5.155            0      425.913      105.113       93.917
      352        1.529        4.930            0      428.020       87.737       94.827
      353        1.611        4.929            0      419.799       94.621       97.380
      354        1.647        4.773            0      411.184       73.962      101.157
      355        1.650        4.970            0      425.799      100.251       96.417
      356        1.702        5.089            0      432.407      103.248       94.095
      357        1.821        5.017            0      426.184       87.943       94.117
      358        1.670        4.949            0      425.484       85.498      105.217
      359        1.607        5.080            0      426.286       93.857       98.303
      360        1.573        4.842            0      418.741      102.834       99.738
      361        1.653        5.060            0      429.221       94.722       98.871
      362        1.678        4.980            0      430.601      120.545       96.977
      363        1.343        4.860            0      417.396      102.404      103.996
      364        1.698        5.199            0      429.423      133.791       98.581
      365        1.555        5.084            0      424.742      119.797       98.934
      366        1.695        4.991            0      426.324       88.346       98.284
      367        1.636        5.052            0      425.226      112.139      100.444
      368        1.686        5.228            0      426.611      113.096       98.379
      369        1.657        5.094            0      423.745      103.034       95.092
      370        1.760        5.216            0      428.941       95.536       96.264
      371        1.457        5.156            0      428.018      110.730       99.913
      372        1.436        4.980            0      428.562      116.935      100.566
      373        1.704        5.270            0      425.685      122.429       96.866
      374        1.724        5.121            0      424.945      121.787       98.882
      375        1.575        5.162            0      427.053      111.882       96.889
      376        1.610        5.176            0      427.281       94.307       98.111
      377        1.752        5.100            0      430.845      103.068       95.097
      378        1.610        4.773            0      413.250       87.063      103.205
      379        1.492        4.900            0      426.186      108.802       99.340
      380        1.647        4.858            0      422.838      125.687       96.182
      381        1.514        4.842            0      419.294       96.173       99.346
      382        1.569        5.037            0      425.258      102.701       99.612
      383        1.599        4.891            0      413.964      135.854      101.952
      384        1.588        5.009            0      428.188      105.028       99.464
      385        1.613        5.124            0      430.208      123.720       92.266
      386        1.773        5.022            0      430.366      112.007       98.407
      387        1.579        5.019            0      423.374      105.155       99.297
      388        1.645        5.146            0      429.305      114.638       98.224
      389        1.639        5.109            0      428.426      112.736       96.100
      390        1.702        4.906            0      421.822      105.535       98.263
      391        1.615        5.034            0      423.629      116.136      101.523
      392        1.566        5.167            0      425.955       92.312       97.678
      393        1.412        5.094            0      430.381      108.622      102.230
      394        1.635        5.168            0      425.183      113.358       94.741
      395        1.553        4.988            0      425.421      113.681       98.067
      396        1.347        4.971            0      432.246      109.544       96.709
      397        1.349        5.071            0      428.078      121.512       95.838
      398        1.309        5.089            0      427.445      114.123       95.731
      399        1.096        4.862            0      426.708      112.734       97.544
      400        1.344        4.949            0      428.426      129.317       96.495
      401        1.343        5.143            0      428.182      125.850       93.062
      402        1.339        5.096            0      429.215       89.172       91.485
      403        0.604        4.948            0      430.537      113.924       97.442
      404        1.687        4.825            0      421.014      120.606       96.934
      405        1.598        4.801            0      424.636      101.482       99.355
