## Torsion are defined with the following atomIDs:
# dihed1: ai= 18 aj= 17 ak= 12 al= 11
# dihed2: ai= 13 aj= 14 ak= 31 al= 32
# dihed3: ai= 15 aj= 11 ak= 4 al= 3
# dihed4: ai= 2 aj= 1 ak= 35 al= 40
# dihed5: ai= 1 aj= 35 ak= 40 al= 38
# dihed6: ai= 40 aj= 38 ak= 44 al= 45
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
274 -134.048  -87.102 -121.964 -124.928   61.504 -173.463
275 -121.052 -115.129 -140.369 -124.406   74.652  157.086
276 -146.589 -107.932 -115.051 -107.822   54.019 -173.867
277 -138.306    1.228 -139.314  -98.394   63.015  176.193
278 -117.274 -151.474 -129.403 -101.582   31.431  171.017
279 -128.653   -5.813 -129.844 -113.547   85.437  149.622
280 -147.153   46.126 -127.216 -122.480   81.662  160.051
281 -132.868 -170.293 -125.913 -106.495   55.779 -178.737
282 -132.731   -8.847 -121.384 -123.408   61.191  167.851
283 -124.629  -12.304 -139.047  -94.095   68.694  179.894
284 -146.128 -105.297 -114.418 -114.203   84.665  172.914
285 -146.219  174.654 -121.334 -118.759   75.072  174.656
286 -128.213  116.621 -122.079 -114.922   81.783  161.490
287 -129.355   -5.639 -128.023 -119.393   69.147  156.961
288 -133.446   81.309 -153.217  -98.511   69.522  174.308
289 -135.840  -87.962 -130.109 -108.411   60.567  175.397
290 -122.961  103.403 -130.267 -109.143   73.385  166.052
291 -123.243  110.369 -136.741 -101.172   68.418  174.344
292 -139.807 -149.117 -117.033 -116.049   76.807  163.660
293 -118.911  124.937 -123.548 -120.029   69.452  171.916
294 -139.428   -8.474 -128.389 -108.417   59.319  174.879
295 -133.180  102.386 -143.340 -100.129   55.874 -179.401
296 -141.651 -107.468 -119.926 -112.710   69.159  172.683
297 -122.312    3.858 -132.027 -117.583   78.330  163.225
298 -139.851  -17.128 -136.001 -101.600   68.146  167.135
299 -119.187  126.267 -134.144 -112.088   57.833  170.779
300 -148.106  -22.413 -124.950 -114.648   62.923  178.822
301 -161.666  103.105 -128.698 -119.890   72.654  172.444
302 -143.425   -4.745 -126.006 -113.540   56.219 -158.132
303 -137.248 -146.689 -124.495 -121.277   49.398 -163.526
304 -127.708 -134.646 -126.638 -111.635   71.142  175.482
305 -144.047  -40.813 -127.840 -128.809   69.523 -171.701
306 -136.749   -9.145 -127.924 -104.613   81.859  154.977
307 -121.483   -5.306 -116.047 -134.526   66.702  164.838
308 -157.572  106.148 -104.744 -142.942   83.899  175.076
309 -144.674   -5.146 -138.686 -101.996   84.951  159.302
310 -139.001  -98.384 -132.774 -110.027   85.872  146.397
311 -148.933 -136.790 -135.482 -120.286   71.127  164.301
312 -135.567  -99.860 -124.622 -117.103   57.833 -174.207
313 -146.890   -6.984 -117.694 -121.123   74.577  150.707
314 -132.540 -111.254 -135.063 -111.053   82.361  167.682
315 -160.292  -12.525 -102.749 -118.183   83.077  153.594
316 -140.630  136.718 -127.025 -134.015   76.167 -177.308
317 -135.007  -30.281 -132.187 -106.430   97.446  170.528
318 -135.277  110.495  -90.542 -137.816   60.831  170.928
319 -132.814  -86.053  -93.624 -140.719   68.240  159.479
320 -139.674   92.847 -109.631 -112.090   76.522  173.629
321 -138.855  -92.826 -102.976 -136.341   68.865  161.365
322 -138.016  142.161 -129.989 -134.624   78.688  155.687
323 -151.218 -126.733 -125.693 -148.283   59.034 -172.262
324 -171.446  -86.221 -117.975 -127.963   72.912  167.848
325 -135.364  112.081 -124.013 -135.693   67.402  178.217
326 -138.663  122.546 -104.960 -135.471   74.380  155.559
327 -146.272   33.589 -109.961 -127.292   69.393  177.671
328 -158.491   47.822 -116.462 -124.555   64.779  162.609
329 -151.316  177.583 -131.186 -136.588   88.541  173.629
330 -150.826   99.187 -107.280 -119.499   59.790 -159.987
331 -148.715   17.688 -118.266 -116.054   61.324 -179.743
332 -162.153 -131.606 -120.144 -125.323   81.183  154.371
333 -129.350  110.750 -113.951 -120.518   53.202 -170.492
334 -125.693   93.111 -144.422 -114.269   82.806  175.457
335 -139.654 -153.763 -115.946 -117.074   91.754  176.789
336 -153.930 -130.882 -105.320 -131.250   49.908 -151.492
337 -137.327  -15.681 -128.760 -150.783   93.189  172.965
338 -129.636 -121.260 -131.855 -133.719   91.922  166.363
339 -138.700  159.712 -127.664 -124.619   67.355  177.915
340 -155.300   84.998 -131.099 -118.150   71.105  177.815
341 -146.053   93.092 -129.901 -118.642   71.026  176.038
342 -153.976  -20.396 -108.355 -139.421   65.819 -160.978
343 -148.169  104.723 -140.927 -116.468   62.106 -162.020
344 -131.873 -113.891 -133.339 -123.068   69.205  175.290
345 -121.396   56.916 -143.860 -135.931   79.950  166.278
346 -149.346   -7.705 -118.022 -118.389   52.876 -179.170
347 -136.331  -13.245 -111.363 -136.347   87.307 -171.234
348 -128.924  -37.775 -139.974 -127.296   96.409  160.255
349 -154.031  109.072 -124.425 -118.226   50.013 -161.995
350 -124.580  -39.617 -112.832 -126.101   78.160 -176.050
351 -127.175 -167.149 -128.182 -127.065  104.465  178.035
352 -132.796   94.190 -127.838 -109.087   67.572 -168.227
353 -153.865   31.415 -132.332 -124.143   70.124 -179.086
354 -157.754  -68.818 -115.782 -124.010   74.642 -168.731
355 -122.329 -152.985 -123.249 -145.146   97.130  177.197
356 -149.330   94.313 -142.546 -110.962   79.171  170.530
357 -148.086 -128.551 -138.568 -114.596   89.134  170.330
358 -150.532 -143.260 -102.887 -146.347   53.221 -168.990
359 -148.423  -51.873 -107.400 -124.327   76.590 -176.033
360 -138.883 -134.531 -117.005 -118.216   57.473 -176.499
361 -147.006  -26.078 -124.975 -121.970   70.309 -177.961
362 -133.362  -58.480 -126.921 -138.126   79.909  173.417
363 -134.631   79.855 -126.407 -117.373   47.964  178.129
364 -142.672 -141.813 -122.913 -128.278   79.133  177.047
365 -153.168 -129.824 -108.430 -159.355   76.421 -171.192
366 -138.658  -87.799 -121.039 -131.694   75.572 -176.744
367 -149.235  114.944 -132.237 -128.473   70.053  176.755
368 -143.271    1.835 -127.367 -127.875   86.242  177.334
369 -147.946  117.871 -134.850 -135.442   72.753 -157.311
370 -169.509 -113.247 -126.783 -132.439   68.962  176.494
371 -127.884  -10.162 -108.827 -146.028   72.250 -176.356
372 -150.360  115.659 -116.978 -136.001   60.630 -165.120
373 -148.895  148.261 -133.799 -138.803   86.093 -162.547
374 -140.970  138.340 -145.065 -116.559   82.235 -168.776
375 -144.397   -0.478 -119.604 -136.908   76.670  169.037
376 -144.529  114.049 -118.757 -129.944   76.838 -177.606
377 -137.217   12.740 -134.340 -107.655   73.585  172.012
378 -143.364  178.186 -129.124 -118.729   60.679 -157.083
379 -130.830  -13.212 -108.098 -139.219   81.946  169.235
380 -154.399   -3.002 -121.033 -117.128   90.286  177.106
381 -134.045   42.189 -132.444 -126.975   75.349  168.754
382 -146.681   20.493 -119.967 -136.868   85.427  171.885
383 -138.387  132.685 -135.548 -115.705   42.518 -173.612
384 -136.967 -132.231 -120.900 -138.853   67.814  174.712
385 -149.200  135.910 -129.307 -140.677  103.347  165.130
386 -160.485 -118.394 -128.041 -128.353   65.611 -178.737
387 -135.787  -15.335 -117.166 -133.329   59.724  176.540
388 -153.493   15.004 -127.882 -130.795   89.870 -175.093
389 -158.849  116.527 -126.233 -144.037   73.305 -172.492
390 -134.640  -12.735 -127.639 -118.553   73.405 -165.163
391 -158.258  130.186 -120.754 -134.777   63.613  177.132
392 -135.105  -35.851 -123.207 -151.624   66.585 -157.727
393 -137.461  120.199 -124.433 -154.985   62.460 -165.548
394 -134.653   -5.587 -117.750 -146.585   75.874  179.979
395 -136.010  -59.852 -124.751 -130.436   75.545 -166.447
396 -126.554   18.853 -108.363 -127.342   52.835 -179.704
397 -127.666 -133.483  -83.607 -132.857   99.519 -177.479
398 -113.563  141.159  -82.087 -115.617   74.749 -166.781
399 -118.074   95.155  -99.907 -104.947   83.987 -179.126
400 -123.842  -25.721 -108.232 -135.199   90.651  178.024
401 -106.476   89.488 -139.545  -97.095   95.081 -169.635
402 -105.639    6.180 -139.339 -112.342  137.063  167.562
403  -60.400  109.411  -65.727 -149.335  100.253 -178.353
404 -150.376   21.129 -141.675  -96.537   91.998 -178.254
405 -144.802 -101.353  -98.214 -137.566   87.718 -160.396
406 -140.550 -175.896 -107.592 -109.398   73.885 -151.284
407 -130.435 -134.418 -105.261 -126.303  112.397  166.572
408 -139.751   15.999 -113.681 -106.641   85.906 -167.073
409  -59.148  -93.189  -27.281  179.255  105.312 -172.380
410  -37.639  -88.821  -45.575 -175.042   93.466 -165.556
411  -67.678 -100.894  -47.270 -143.043   77.746  167.076
412  -31.336   24.073  -44.872 -144.201  155.921  116.001
413  -52.064  103.198  -54.995 -162.006  101.507  167.266
414  -50.789   92.266  -43.851  176.199  122.585  166.734
415  -49.423    7.687  -75.326 -146.267   95.034  167.073
416  -11.261 -122.251  -52.819 -138.003   68.042 -152.451
417   28.613 -109.632 -102.572 -108.211   59.981  179.136
418  -44.757  -31.211  -55.413 -166.008   82.119 -156.323
419  -40.453 -107.513  -64.802 -154.222   99.773 -165.706
420  -62.831   54.622  -29.219 -169.866  101.035  173.263
421  -52.003  -12.589  -42.066 -154.891  102.805  167.816
